City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Blackfoot,US,43.1905,-112.345,38.55,57,71,3.67,broken clouds
302,Mayya,RU,61.7333,130.2811,-38.88,96,25,2.13,scattered clouds
303,Superior,US,46.7208,-92.1041,22.89,65,1,13.8,clear sky
304,Tecoanapa,MX,16.5167,-98.75,79.68,75,0,2.62,clear sky
305,Churapcha,RU,62.0025,132.4325,-25.94,97,37,2.24,scattered clouds
306,Mporokoso,ZM,-9.3727,30.125,64.92,78,100,1.7,overcast clouds
307,Mansa,IN,29.9833,75.3833,58.17,26,0,5.06,clear sky
308,George Town,MY,5.4112,100.3354,84.15,81,20,2.3,few clouds
309,Miramar,US,25.9873,-80.2323,78.03,91,20,0.0,few clouds
310,Baishishan,CN,43.5833,127.5667,18.27,86,100,13.73,light snow
311,Suditi,RO,44.5833,27.6,45.05,84,0,7.81,clear sky
312,Le Locle,CH,47.0595,6.7523,38.66,100,20,5.75,fog
313,Danielskuil,ZA,-28.1887,23.5395,59.56,87,1,16.4,clear sky
314,Uravakonda,IN,14.95,77.2667,72.21,91,52,3.98,broken clouds
315,Taltal,CL,-25.4,-70.4833,62.19,77,100,1.52,overcast clouds
316,Komsomolskiy,UZ,40.4272,71.7189,35.02,55,5,6.91,clear sky
317,Puerto Leguizamo,CO,-0.1934,-74.7819,71.65,98,50,1.77,scattered clouds
318,Buala,SB,-8.145,159.5921,87.22,64,14,5.95,few clouds
319,Namibe,AO,-15.1961,12.1522,66.94,82,92,5.35,overcast clouds
320,Suchitlan,MX,19.3667,-103.7167,72.39,78,1,0.0,clear sky
321,Agutaya,PH,11.148,120.9417,83.68,77,10,13.0,clear sky
322,Temba,ZA,-25.3803,28.2631,66.11,89,100,7.11,overcast clouds
323,Santa Maria,BR,-29.6842,-53.8069,61.9,88,0,1.14,clear sky
324,Verkhnyaya Toyma,RU,62.2349,44.9985,20.07,98,99,1.36,overcast clouds
325,Meulaboh,ID,4.1363,96.1285,79.39,81,96,3.56,overcast clouds
326,Alice Springs,AU,-23.7,133.8833,83.75,24,100,13.8,overcast clouds
327,Chalmette,US,29.9427,-89.9634,70.0,85,1,1.01,clear sky
328,Jabinyanah,TN,35.035,10.9081,60.44,73,94,13.94,overcast clouds
329,El Sauce,NI,12.8869,-86.539,76.33,73,20,5.35,few clouds
330,Xining,CN,36.6167,101.7667,25.61,43,2,2.68,clear sky
331,Stranda,NO,62.3096,6.9358,40.59,94,100,8.3,light rain
332,Saint-Ambroise,CA,48.5501,-71.3324,36.09,87,100,9.28,overcast clouds
333,Kahului,US,20.8947,-156.47,84.22,66,20,18.41,few clouds
334,Requena,ES,39.4883,-1.1004,48.7,81,50,4.29,scattered clouds
335,Chicama,PE,-7.8447,-79.1469,61.34,83,81,4.59,broken clouds
336,Laibin,CN,23.7,109.2667,52.29,77,100,17.94,overcast clouds
337,Alassio,IT,44.0039,8.1671,56.05,87,90,8.05,moderate rain
338,Dongsheng,CN,39.8161,109.9776,16.29,18,0,11.07,clear sky
339,Reyes,BO,-14.3167,-67.3833,76.82,73,77,1.48,broken clouds
340,Aktash,RU,50.3,87.7333,6.35,66,100,6.58,overcast clouds
341,Hasaki,JP,35.7333,140.8333,59.4,84,100,29.97,light rain
342,Boa Vista,BR,2.8197,-60.6733,76.98,83,75,3.44,broken clouds
343,Taloqan,AF,36.7361,69.5345,46.0,29,49,3.47,scattered clouds
344,Saldanha,ZA,-33.0117,17.9442,59.05,89,0,13.15,clear sky
345,Kashary,RU,49.04,41.0056,44.33,80,95,18.79,overcast clouds
346,Carpentras,FR,44.0833,5.1667,43.03,89,87,3.47,overcast clouds
347,Fortuna,US,40.5982,-124.1573,49.98,60,33,2.1,scattered clouds
348,Taoudenni,ML,22.6783,-3.9836,76.96,29,76,5.79,broken clouds
349,Cayenne,GF,4.9333,-52.3333,78.1,89,75,3.0,broken clouds
